<unk>	0
<s>	0
</s>	0
▁	-2.37705
,	-3.32339
.	-4.03115
:	-4.22664
s	-4.41939
)	-5.1396
▁/	-5.16677
-	-5.17426
ຂອງ	-5.18705
▁-	-5.30783
▁(	-5.32836
;	-5.48815
▁ແລະ	-5.66849
y	-5.67571
ແລະ	-5.69847
▁ການ	-5.7716
ການ	-5.79629
▁_	-5.79756
▁&	-5.83828
m	-5.8562
er	-5.88714
▁C	-5.93345
ing	-5.93673
r	-5.96119
C	-5.98611
d	-5.98844
in	-5.99857
ໃນ	-6.01039
▁S	-6.02081
g	-6.03108
ທີ່	-6.03225
▁T	-6.03816
D	-6.05689
▁1	-6.09004
ນ	-6.10665
M	-6.11268
▁A	-6.12358
n	-6.14468
t	-6.17253
▁B	-6.18079
e	-6.1946
gt	-6.20019
▁2	-6.22526
i	-6.24698
S	-6.24856
A	-6.24962
x	-6.26437
3	-6.27234
ກ	-6.27812
2	-6.27909
▁P	-6.2797
▁M	-6.2958
/	-6.29926
ດ	-6.30259
an	-6.31409
on	-6.34195
al	-6.3651
▁F	-6.36862
▁ໃນ	-6.37681
▁...	-6.40111
4	-6.40528
L	-6.41528
ເປັນ	-6.42389
▁3	-6.43576
B	-6.43725
ed	-6.44186
mm	-6.45986
T	-6.47841
▁Co	-6.49514
o	-6.50441
▁H	-6.51336
▁$	-6.51588
P	-6.51655
u	-6.51926
b	-6.53035
1	-6.54843
amp	-6.54876
▁D	-6.57767
c	-6.5803
▁5	-6.58447
▁R	-6.60002
▁4	-6.60667
▁L	-6.61285
ກັບ	-6.61665
com	-6.62093
ໄດ້	-6.6211
G	-6.62959
en	-6.63046
5	-6.65025
F	-6.65908
p	-6.66096
▁–	-6.66195
or	-6.67494
▁E	-6.67648
ບ	-6.69416
W	-6.70337
!	-6.70482
▁G	-6.71332
a	-6.72641
V	-6.72725
ສໍາລັບ	-6.72728
l	-6.7384
▁ສໍາລັບ	-6.75452
▁ເຄື່ອງ	-6.75688
le	-6.76275
▁2018	-6.77162
ມ	-6.78143
ງ	-6.79345
f	-6.83254
el	-6.84071
▁ທີ່	-6.84324
▁K	-6.84426
▁10	-6.85012
▁ຈີນ	-6.85336
k	-6.85449
K	-6.85815
ຍ	-6.86833
R	-6.88371
20	-6.88608
H	-6.89461
